Mesh_id,Link_id,Locptid,Loctabcode,Locdir,Dir
514565,1632839,378,32,+,1
514565,1632843,379,32,+,1
514565,1632845,379,32,+,1
514565,1632857,380,32,+,1
514565,1634444,381,32,+,1
514565,1634441,381,32,+,1
514565,1634451,382,32,+,1
514565,1634456,383,32,+,1
514565,1634464,384,32,+,1
514565,1635961,385,32,+,1
514565,1635965,385,32,+,1
514565,1635963,386,32,+,1
514565,1628224,386,32,+,1
514565,1635967,387,32,+,1
514565,1639160,387,32,+,1
514565,1635968,388,32,+,1
514565,1635971,389,32,+,1
514565,1635973,389,32,+,1
514565,1635975,390,32,+,1
514565,1635979,391,32,+,1
514565,1635981,391,32,+,1
514565,1635977,391,32,+,1
514565,1636000,392,32,+,1
514565,1636009,393,32,+,1
514565,1636028,394,32,+,1
514565,1636034,395,32,+,1
514565,1636042,396,32,+,1
514565,1636053,397,32,+,1
514565,86454746,397,32,+,1
514565,1637519,398,32,+,1
514565,1637522,398,32,+,1
514565,1637524,398,32,+,1
514565,1637533,399,32,+,1
514565,1637536,400,32,+,1
514565,1637538,401,32,+,1
514565,1637543,402,32,+,1
514565,1637545,402,32,+,1
514565,1637555,403,32,+,1
514565,1637580,404,32,+,1
514565,1637581,404,32,+,1
514565,1637583,405,32,+,1
514565,1637585,405,32,+,1
514565,1637602,406,32,+,1
514565,1639155,406,32,+,1
514565,86454594,406,32,+,1
514565,1637612,407,32,+,1
514565,1637614,407,32,+,1
514565,1639086,408,32,+,1
514565,1639092,409,32,+,1
514565,1639094,410,32,+,1
514565,1639097,411,32,+,1
514565,1639105,412,32,+,1
514565,1639108,412,32,+,1
514565,1639125,412,32,+,1
514565,1639127,412,32,+,1
514565,1639109,413,32,+,1
514565,1639122,414,32,+,1
514565,1639124,414,32,+,1
514565,1639145,415,32,+,1
514565,1639146,415,32,+,1
514565,1639148,416,32,+,1
514565,1639150,416,32,+,1
514565,1637609,416,32,+,1
514565,1639148,416,32,+,1
514565,1639169,417,32,+,1
514565,1639181,417,32,+,1
514565,1639172,418,32,+,1
514565,1639175,419,32,+,1
514565,1634469,419,32,+,1
514565,1639179,420,32,+,1
514565,1639178,420,32,+,1
514565,1640646,421,32,+,1
514565,1640655,421,32,+,1
514565,1640672,422,32,+,1
514564,2294645,422,32,+,1
514565,1640674,423,32,+,1
514565,1640710,424,32,+,1
514565,91879928,424,32,+,1
514565,16473932,425,32,+,1
514565,19651439,426,32,+,1
514565,19651440,426,32,+,1
514565,86695168,426,32,+,1
514565,86230108,427,32,+,1
514565,86230111,427,32,+,1
514565,86230128,428,32,+,1
514565,86230129,429,32,+,1
514565,86230132,429,32,+,1
514565,86230135,430,32,+,1
514565,86230136,431,32,+,1
514565,86230137,431,32,+,1
514565,86230148,432,32,+,1
514565,86230149,433,32,+,1
514565,86230152,433,32,+,1
514565,86230155,434,32,+,1
514565,86230162,435,32,+,1
514565,86230163,435,32,+,1
514565,86230165,436,32,+,1
514565,86230166,436,32,+,1
514565,86230171,437,32,+,1
514565,86230176,438,32,+,1
514565,86230177,439,32,+,1
514565,86230178,440,32,+,1
